id,llegada,fecha,usuarios_id,reservahabitaciones_id
70,F,2023-10-08,40961,1341
71,F,2023-10-27,4832,2664
72,F,2023-10-19,88671,2788
73,F,2023-10-22,26867,1892
74,F,2023-10-16,28801,1903
75,F,2023-10-21,4344,2698
76,F,2023-10-14,34261,1675
77,T,2023-10-22,92577,292
78,F,2023-10-24,46822,3805
79,F,2023-10-29,97280,1711
80,F,2023-10-25,95642,2909
81,T,2023-11-04,21062,2940
82,T,2023-10-20,87169,956
83,F,2023-10-27,70187,3488
84,T,2023-10-11,38903,1984
85,T,2023-10-16,63628,687
86,F,2023-10-10,61412,1389
87,F,2023-10-24,95764,4698
88,T,2023-10-17,4806,4376
89,F,2023-10-24,44258,260
90,F,2023-10-20,45125,912
91,T,2023-11-02,48864,893
92,F,2023-11-03,68917,2333
93,F,2023-10-18,24726,2383
94,F,2023-10-27,25501,4353
95,F,2023-10-23,37636,4439
96,T,2023-10-16,36916,952
97,T,2023-10-31,3047,4116
98,T,2023-10-22,21316,2433
99,T,2023-10-27,85848,4656
100,T,2023-11-06,40639,646
101,T,2023-10-11,48593,3940
102,T,2023-10-18,35392,672
103,F,2023-10-18,46396,2033
104,T,2023-11-05,10373,3264
105,T,2023-10-27,6526,3555
106,T,2023-10-10,67872,2195
107,T,2023-11-01,60813,3441
108,T,2023-10-12,87805,4560
109,T,2023-11-01,90050,588
110,T,2023-10-24,19885,4273
111,T,2023-11-03,67342,3492
112,F,2023-10-18,14318,2087
113,F,2023-11-03,44513,4792
114,F,2023-10-29,72048,3757
115,F,2023-10-13,97652,2599
116,T,2023-10-23,75238,4875
117,T,2023-10-14,2255,3937
118,F,2023-10-27,42969,447
119,T,2023-10-29,79995,4692
120,T,2023-10-30,46484,2680
121,F,2023-10-12,80254,1895
122,T,2023-10-11,28932,4257
123,T,2023-11-06,63294,4811
124,T,2023-10-21,63770,3279
125,F,2023-10-20,89984,475
126,F,2023-10-18,59744,4516
127,F,2023-10-30,25267,2269
128,F,2023-10-10,20363,1592
129,F,2023-10-12,39881,3527
130,F,2023-10-30,31453,3147
131,T,2023-10-12,7934,503
132,T,2023-10-09,82548,4368
133,T,2023-10-26,81891,4954
134,T,2023-10-08,89194,4901
135,T,2023-10-14,80682,1206
136,F,2023-10-24,83520,4503
137,F,2023-10-11,62279,508
138,F,2023-11-06,25443,2038
139,F,2023-10-16,36870,4748
140,F,2023-10-24,54282,1036
141,T,2023-11-04,54889,4663
142,F,2023-10-17,28542,608
143,F,2023-11-03,81200,2561
144,T,2023-10-08,4391,870
145,T,2023-10-23,87925,4129
146,F,2023-10-25,23417,4148
147,T,2023-10-21,20545,2028
148,T,2023-10-19,41624,4685
149,F,2023-10-25,5778,744
150,T,2023-11-06,83704,1721
151,T,2023-11-04,26108,2535
152,T,2023-10-20,4103,4875
153,T,2023-10-15,70442,3446
154,F,2023-10-12,58501,1431
155,F,2023-11-05,91198,4729
156,F,2023-11-06,80710,852
157,T,2023-10-22,218,967
158,T,2023-10-19,44734,4224
159,F,2023-10-12,2452,787
160,F,2023-10-31,10435,4616
161,T,2023-10-23,96003,1963
162,T,2023-11-01,64967,2361
163,F,2023-10-30,91770,2303
164,F,2023-11-03,64855,2311
165,T,2023-10-19,72680,1233
166,T,2023-11-06,61926,1268
167,F,2023-10-23,62423,342
168,T,2023-10-29,25809,1669
169,T,2023-10-30,12528,2446
170,F,2023-10-26,19801,663
171,T,2023-10-10,34354,3743
172,F,2023-10-16,74583,238
173,T,2023-10-15,59328,4414
174,F,2023-11-04,67313,3062
175,F,2023-10-29,30521,3028
176,F,2023-10-27,7937,4101
177,F,2023-10-26,30863,1429
178,F,2023-10-14,61026,223
179,F,2023-10-17,23973,3477
180,T,2023-10-11,21832,1227
181,T,2023-10-18,68460,2429
182,F,2023-10-26,35415,3616
183,T,2023-10-09,70882,2956
184,T,2023-10-21,73791,856
185,F,2023-10-30,25446,744
186,T,2023-10-14,18924,210
187,F,2023-10-09,63978,534
188,F,2023-11-03,19353,758
189,T,2023-10-21,99196,100
190,F,2023-10-10,5776,4134
191,F,2023-11-06,79868,2124
192,T,2023-10-08,10232,2745
193,F,2023-10-22,452,1552
194,F,2023-10-11,60869,2984
195,T,2023-11-04,87468,3616
196,T,2023-10-15,50479,13
197,F,2023-11-02,46521,1030
198,F,2023-10-08,34596,692
199,F,2023-10-20,47172,1663
200,T,2023-10-11,51745,2883
201,F,2023-10-24,71133,3054
202,T,2023-10-18,27580,1288
203,F,2023-11-05,87936,3679
204,F,2023-10-29,97189,3362
205,F,2023-11-05,66920,4229
206,F,2023-10-30,53588,3848
207,T,2023-10-23,97887,302
208,T,2023-10-27,62550,2913
209,T,2023-10-21,84732,4872
210,F,2023-10-31,87238,4784
211,F,2023-10-22,71559,2617
212,F,2023-10-21,82142,1403
213,F,2023-11-02,86250,4325
214,F,2023-10-16,48413,391
215,T,2023-10-21,2576,4385
216,T,2023-10-17,45116,2651
217,F,2023-10-17,61691,1979
218,T,2023-10-11,54345,3823
219,T,2023-11-01,77360,3668
220,T,2023-11-06,992,3709
221,T,2023-10-18,62272,4574
222,T,2023-10-23,88157,2563
223,F,2023-10-10,61203,4866
224,T,2023-11-05,70691,2416
225,F,2023-10-22,76224,2773
226,T,2023-10-28,10395,4148
227,F,2023-10-28,78438,1085
228,T,2023-10-18,25286,2846
229,F,2023-10-12,43619,4211
230,T,2023-10-23,9386,4801
231,F,2023-11-04,39625,4218
232,F,2023-11-05,12622,3060
233,F,2023-10-28,68645,2856
234,T,2023-10-20,19464,1734
235,T,2023-10-19,66293,792
236,T,2023-10-09,29691,206
237,F,2023-10-10,35611,227
238,T,2023-10-25,6025,4183
239,T,2023-10-19,77226,2980
240,T,2023-10-12,19634,1527
241,T,2023-10-19,16159,3258
242,T,2023-11-03,1275,873
243,F,2023-10-23,25234,1936
244,T,2023-10-12,82731,2348
245,T,2023-10-26,37191,3693
246,T,2023-10-31,98743,1682
247,T,2023-11-01,32351,2393
248,F,2023-11-01,39673,298
249,F,2023-10-08,38283,4721
250,T,2023-11-06,63605,4668
251,T,2023-11-03,23465,679
252,T,2023-10-20,55558,3636
253,F,2023-10-22,81825,3194
254,F,2023-10-16,23827,4099
255,T,2023-10-08,2402,1679
256,T,2023-10-11,56947,3562
257,T,2023-11-03,15321,4261
258,F,2023-11-06,41307,572
259,F,2023-10-23,78922,1990
260,T,2023-10-09,89601,2927
261,F,2023-10-12,248,4913
262,F,2023-11-03,96818,2649
263,F,2023-10-12,14674,46
264,F,2023-11-04,77929,4063
265,F,2023-10-09,55433,4409
266,T,2023-10-21,70750,3668
267,T,2023-11-01,96755,1265
268,F,2023-10-19,26470,1385
269,F,2023-10-30,19041,65
270,F,2023-10-09,42028,1525
271,T,2023-10-12,25145,1561
272,T,2023-10-16,68281,4513
273,F,2023-10-14,74338,4255
274,T,2023-11-04,96264,981
275,F,2023-10-10,18096,4293
276,F,2023-10-09,60793,1093
277,F,2023-10-21,98884,2523
278,T,2023-10-26,44393,3995
279,T,2023-10-29,32188,4534
280,T,2023-10-19,84534,4248
281,T,2023-11-03,12483,3877
282,F,2023-10-15,33884,558
283,T,2023-10-27,44884,1766
284,F,2023-10-15,8686,397
285,F,2023-10-23,40813,247
286,F,2023-11-05,11355,1935
287,T,2023-10-22,77411,745
288,T,2023-10-15,55698,1746
289,T,2023-10-13,1887,2523
290,F,2023-10-24,61416,2042
291,T,2023-10-15,69837,2933
292,F,2023-11-03,44435,1972
293,T,2023-11-06,71896,37
294,T,2023-11-06,30663,625
295,T,2023-10-27,97717,1414
296,F,2023-10-31,97305,1869
297,F,2023-10-29,94021,4288
298,T,2023-10-11,40996,4404
299,F,2023-11-04,38215,31
300,T,2023-10-26,52148,234
301,T,2023-10-19,89475,1281
302,F,2023-10-27,94733,4910
303,T,2023-10-16,51466,2588
304,F,2023-10-27,78186,1693
305,F,2023-10-24,36066,2004
306,T,2023-10-15,97497,2258
307,T,2023-11-05,11664,1387
308,F,2023-10-23,10512,2306
309,T,2023-10-08,44184,4360
310,F,2023-10-27,85019,3314
311,T,2023-10-22,26895,3795
312,T,2023-10-27,59309,3455
313,F,2023-11-06,79374,2061
314,F,2023-11-02,73915,3695
315,F,2023-11-06,23649,1253
316,F,2023-10-15,88597,4260
317,T,2023-10-20,17432,416
318,F,2023-10-31,86402,3864
319,T,2023-10-14,24605,2493
320,T,2023-11-01,56716,3741
321,F,2023-10-23,40668,2
322,T,2023-10-09,1694,818
323,F,2023-10-25,455,2438
324,T,2023-10-23,11029,1419
325,T,2023-10-09,94921,4996
326,F,2023-11-06,18577,3981
327,T,2023-10-25,8972,921
328,F,2023-10-29,64669,2790
329,F,2023-10-09,41195,4019
330,F,2023-10-21,57169,632
331,T,2023-11-01,37346,1804
332,T,2023-10-14,6260,531
333,F,2023-10-31,44131,3214
334,T,2023-11-02,89290,4080
335,T,2023-11-03,24140,2298
336,F,2023-10-14,97799,1658
337,F,2023-11-02,18581,2690
338,F,2023-11-05,20070,3971
339,T,2023-10-18,62234,3276
340,T,2023-10-22,85995,2257
341,F,2023-10-22,7217,4809
342,T,2023-10-24,68711,3910
343,T,2023-10-21,57479,2302
344,T,2023-10-15,34694,3199
345,T,2023-10-15,21141,3299
346,F,2023-10-11,73151,3557
347,F,2023-10-21,90562,4534
348,T,2023-10-08,6179,2059
349,F,2023-10-12,47544,1317
350,F,2023-10-19,85730,99
351,T,2023-10-17,30000,1241
352,T,2023-11-02,29258,2170
353,F,2023-10-13,9551,4805
354,T,2023-10-28,61305,2100
355,T,2023-10-12,12494,4398
356,T,2023-10-20,38226,4916
357,F,2023-10-25,68649,363
358,F,2023-10-29,74586,990
359,T,2023-10-13,57967,4371
360,T,2023-10-24,48797,4411
361,F,2023-11-06,45739,2615
362,F,2023-10-25,52400,1276
363,T,2023-10-08,66445,348
364,T,2023-10-13,32454,5000
365,F,2023-10-18,96867,268
366,F,2023-10-26,31488,4554
367,F,2023-10-16,82884,2590
368,T,2023-10-08,77459,3260
369,F,2023-10-29,37201,1665
370,F,2023-10-15,44555,3378
371,F,2023-10-19,91687,3037
372,F,2023-10-26,61293,496
373,T,2023-11-01,55510,3285
374,T,2023-10-27,57851,2633
375,F,2023-10-20,24615,1319
376,F,2023-10-26,65497,2389
377,T,2023-10-14,91134,3324
378,F,2023-10-19,35727,3592
379,T,2023-10-10,69207,4331
380,F,2023-10-14,20067,3568
381,T,2023-10-22,45295,2328
382,F,2023-10-22,71882,3262
383,T,2023-10-27,19676,595
384,F,2023-10-11,18052,2413
385,T,2023-11-03,73338,3195
386,T,2023-10-31,56047,1204
387,T,2023-11-01,84678,2572
388,F,2023-10-17,95150,3173
389,F,2023-11-03,11219,3597
390,F,2023-10-17,92778,2462
391,T,2023-11-06,25877,3594
392,F,2023-10-09,1686,1881
393,F,2023-10-12,33568,1200
394,F,2023-10-18,78457,3557
395,F,2023-10-20,43259,383
396,F,2023-10-15,560,224
397,T,2023-10-19,39402,1233
398,T,2023-10-11,86605,4054
399,F,2023-10-16,62590,4818
400,F,2023-10-08,8470,3237
401,F,2023-11-04,94587,141
402,T,2023-10-22,62346,1675
403,T,2023-11-04,5688,952
404,T,2023-10-23,97411,2219
405,T,2023-10-29,65816,4378
406,T,2023-10-11,73869,3016
407,F,2023-10-08,50152,2940
408,F,2023-10-14,85111,1886
409,F,2023-11-01,60074,4637
410,F,2023-10-30,18739,824
411,F,2023-11-01,30916,2576
412,F,2023-10-14,91774,37
413,F,2023-10-23,65721,2918
414,F,2023-11-04,41404,225
415,T,2023-10-08,56006,3419
416,F,2023-11-01,19580,1892
417,F,2023-10-25,90448,3469
418,F,2023-11-03,69179,2448
419,T,2023-10-16,34275,3092
420,T,2023-10-30,39616,2827
421,T,2023-10-25,45480,4319
422,F,2023-10-13,9196,445
423,T,2023-10-12,19497,1778
424,F,2023-10-16,30450,1977
425,T,2023-10-22,33471,4156
426,T,2023-10-26,59590,4100
427,F,2023-10-21,42796,1269
428,F,2023-11-01,52534,3598
429,T,2023-10-13,87920,3412
430,F,2023-10-20,8939,4072
431,T,2023-10-11,37991,1542
432,T,2023-10-19,5327,3055
433,T,2023-10-16,56305,1739
434,F,2023-10-13,64455,3051
435,F,2023-10-11,7151,3871
436,T,2023-11-06,94348,1886
437,T,2023-10-09,17917,2395
438,T,2023-10-11,56961,4617
439,T,2023-10-26,48204,4007
440,F,2023-10-19,4709,1630
441,F,2023-11-06,82501,2382
442,F,2023-11-03,1728,3094
443,F,2023-10-15,28500,1526
444,F,2023-11-01,79506,4664
445,T,2023-10-27,47351,3507
446,T,2023-10-19,2796,2374
447,T,2023-10-10,43500,2668
448,F,2023-10-22,88794,160
449,F,2023-10-26,20573,1732
450,F,2023-11-02,17068,2775
451,T,2023-10-23,77958,1610
452,F,2023-10-14,95793,2055
453,T,2023-10-20,45835,355
454,F,2023-11-03,19074,3041
455,F,2023-10-11,73408,1543
456,T,2023-10-19,43574,4699
457,F,2023-10-24,9545,4912
458,T,2023-10-08,8093,21
459,T,2023-10-26,62679,1974
460,F,2023-10-17,27178,2149
461,T,2023-11-05,93346,1799
462,F,2023-10-17,90888,1059
463,F,2023-11-04,51335,380
464,T,2023-10-08,6851,2486
465,T,2023-10-12,81773,118
466,T,2023-10-26,86218,469
467,T,2023-10-15,4893,4357
468,F,2023-10-20,61735,1635
469,F,2023-10-19,69537,876
470,T,2023-11-04,13190,1813
471,T,2023-10-31,80013,3725
472,F,2023-10-30,70904,4945
473,F,2023-10-26,98643,2160
474,F,2023-10-18,37278,2505
475,T,2023-10-14,58316,2954
476,T,2023-11-04,62441,3485
477,F,2023-11-04,26245,1912
478,F,2023-11-02,89103,1698
479,F,2023-10-20,14912,1754
480,T,2023-10-10,3325,3521
481,T,2023-11-05,29935,1691
482,T,2023-10-31,93258,3288
483,F,2023-10-09,28784,763
484,F,2023-10-24,55966,1561
485,T,2023-10-27,67002,3253
486,T,2023-10-31,92850,3268
487,T,2023-10-14,66857,814
488,T,2023-10-20,87672,833
489,T,2023-10-10,17059,683
490,T,2023-10-23,92880,931
491,F,2023-10-16,5337,34
492,T,2023-10-22,30049,2175
493,F,2023-10-18,80251,2199
494,F,2023-10-13,32296,4419
495,F,2023-10-09,39633,3680
496,F,2023-10-12,79404,2515
497,T,2023-10-23,17083,2826
498,F,2023-11-02,76466,3462
499,T,2023-10-16,43213,13
500,T,2023-10-25,89248,2231
501,T,2023-11-05,79612,2132
502,T,2023-10-14,25400,452
503,T,2023-10-24,16167,3036
504,T,2023-10-16,96171,2782
505,F,2023-10-26,76192,3502
506,T,2023-10-28,47133,1537
507,F,2023-10-24,33801,2851
508,T,2023-10-11,25515,1896
509,T,2023-10-20,41518,2283
510,F,2023-10-16,82975,1824
511,F,2023-11-06,90931,2192
512,F,2023-11-01,33953,3971
513,F,2023-10-28,23471,3669
514,T,2023-10-18,79874,3765
515,F,2023-10-29,96673,609
516,T,2023-10-09,28869,1059
517,T,2023-10-17,50886,2696
518,T,2023-10-19,83300,4458
519,F,2023-11-03,43236,3735
520,T,2023-10-21,22105,1508
521,F,2023-10-22,93828,3444
522,F,2023-11-01,16492,3555
523,T,2023-10-18,47781,853
524,F,2023-10-13,95588,1590
525,F,2023-10-13,25300,4481
526,F,2023-10-10,53393,4011
527,T,2023-10-12,48518,4113
528,T,2023-10-21,4632,2475
529,T,2023-10-29,94403,3759
530,T,2023-10-26,95587,4868
531,F,2023-10-12,89272,1412
532,F,2023-10-24,83110,2654
533,T,2023-11-01,69789,1454
534,F,2023-10-15,36461,372
535,T,2023-10-28,95008,3527
536,F,2023-11-03,62629,4952
537,T,2023-10-31,89151,2856
538,F,2023-11-01,18656,4693
539,T,2023-11-04,47175,2167
540,T,2023-10-18,82683,1291
541,T,2023-10-30,2659,413
542,F,2023-10-28,81691,4627
543,F,2023-11-06,66475,1068
544,F,2023-11-01,18594,4444
545,T,2023-10-12,81988,1228
546,T,2023-10-10,36867,3907
547,T,2023-10-11,80347,3176
548,T,2023-10-28,51837,4338
549,F,2023-10-25,54255,2830
550,F,2023-10-21,25900,4305
551,T,2023-10-12,10209,2356
552,T,2023-10-13,4872,927
553,F,2023-10-31,19669,3483
554,F,2023-10-18,44265,295
555,T,2023-10-20,41365,890
556,T,2023-10-29,52954,2513
557,T,2023-10-21,96381,3290
558,F,2023-10-29,51877,2927
559,F,2023-11-04,65015,2218
560,T,2023-10-28,15495,4776
561,F,2023-10-08,17229,903
562,T,2023-11-03,40582,209
563,T,2023-10-08,12860,2516
564,T,2023-10-15,41809,4061
565,F,2023-10-31,77543,2316
566,T,2023-10-18,56683,368
567,T,2023-10-14,48295,1949
568,F,2023-10-22,88091,3677
569,T,2023-11-05,95390,4626
570,T,2023-10-31,7921,4002
571,F,2023-10-24,6580,3796
572,F,2023-10-31,26377,2565
573,T,2023-11-05,71583,4153
574,F,2023-10-14,17217,3810
575,F,2023-10-21,53591,1240
576,T,2023-10-09,48317,2312
577,T,2023-10-27,31991,2189
578,F,2023-10-16,15998,4058
579,T,2023-10-24,95533,17
580,F,2023-11-06,79272,1505
581,F,2023-10-20,6623,2512
582,F,2023-10-20,64254,4499
583,T,2023-10-18,22144,3935
584,T,2023-10-13,17660,4258
585,F,2023-10-12,83487,1498
586,F,2023-10-24,3696,560
587,F,2023-10-09,21467,4346
588,F,2023-10-08,35791,1207
589,T,2023-10-31,2566,2158
590,F,2023-10-17,13635,3004
591,T,2023-10-11,57371,4863
592,T,2023-10-22,23448,4178
593,T,2023-10-10,33487,3125
594,T,2023-10-28,19808,2939
595,F,2023-10-18,39838,442
596,F,2023-11-02,77900,1390
597,F,2023-10-12,84387,4393
598,T,2023-11-06,32207,3872
599,T,2023-10-15,19841,3863
600,F,2023-11-01,8603,2425
601,F,2023-11-01,47167,2993
602,F,2023-10-20,33138,3147
603,T,2023-10-09,2114,3971
604,F,2023-10-15,19653,3120
605,T,2023-10-30,16550,1869
606,F,2023-10-16,3519,647
607,T,2023-10-13,64057,4470
608,F,2023-10-29,5854,3203
609,T,2023-10-09,31313,245
610,F,2023-10-11,13799,3359
611,T,2023-10-28,74249,869
612,T,2023-10-24,67858,2560
613,F,2023-11-04,73947,2270
614,T,2023-10-29,38468,4899
615,F,2023-10-15,49642,2251
616,F,2023-10-22,29882,3490
617,F,2023-10-26,70321,2432
618,T,2023-11-03,74119,3208
619,T,2023-10-25,87064,438
620,F,2023-10-15,46005,1664
621,F,2023-10-12,29421,1169
622,T,2023-10-28,24907,4332
623,F,2023-10-12,69052,3640
624,F,2023-10-22,54734,3311
625,F,2023-10-28,92501,2780
626,T,2023-10-14,71808,1705
627,F,2023-10-13,30607,750
628,T,2023-11-02,51236,835
629,F,2023-10-18,32487,2031
630,F,2023-11-01,40319,4597
631,T,2023-10-29,12665,1398
632,F,2023-10-24,83991,567
633,F,2023-10-24,56542,3957
634,F,2023-10-23,88005,1916
635,T,2023-10-31,20893,4469
636,T,2023-10-31,74374,613
637,T,2023-10-31,27596,3421
638,F,2023-10-27,46199,4490
639,F,2023-10-27,61703,205
640,T,2023-11-04,61874,2320
641,F,2023-10-31,56294,696
642,T,2023-10-09,2205,1234
643,F,2023-10-24,27044,576
644,F,2023-10-16,30377,2687
645,T,2023-10-26,93248,4409
646,F,2023-10-24,87966,2910
647,T,2023-10-18,33950,4283
648,F,2023-10-11,74023,307
649,T,2023-10-20,69841,1948
650,T,2023-10-24,38523,2842
651,F,2023-10-20,64549,1798
652,T,2023-11-02,90666,4720
653,T,2023-10-29,82488,4737
654,F,2023-10-14,64287,917
655,T,2023-11-06,73106,2615
656,T,2023-11-02,56368,1386
657,T,2023-10-29,78024,2511
658,T,2023-10-19,21629,282
659,T,2023-10-24,27805,913
660,F,2023-10-31,3197,120
661,F,2023-10-28,4149,4884
662,T,2023-11-04,42906,4019
663,T,2023-10-11,54535,4804
664,T,2023-11-04,49722,4010
665,F,2023-10-18,52147,927
666,T,2023-11-03,93057,2715
667,T,2023-10-23,51517,1777
668,T,2023-10-25,22668,3364
669,F,2023-10-24,50941,1284
670,F,2023-11-04,6601,2311
671,F,2023-10-10,90659,4494
672,T,2023-10-18,43645,2596
673,F,2023-10-21,19942,3706
674,T,2023-10-24,35684,2492
675,F,2023-11-02,83448,2341
676,F,2023-11-06,85641,4797
677,T,2023-10-13,3160,3165
678,F,2023-10-09,8490,3717
679,F,2023-11-05,7069,990
680,T,2023-10-16,34721,3543
681,F,2023-10-23,70483,1932
682,F,2023-11-01,73215,1528
683,F,2023-10-20,4000,1304
684,F,2023-10-19,34643,3359
685,F,2023-10-31,27501,2896
686,F,2023-10-20,9000,1129
687,T,2023-10-27,13912,1299
688,F,2023-11-03,52066,3945
689,F,2023-10-29,98516,4021
690,T,2023-10-22,12684,4945
691,T,2023-10-14,9285,1695
692,F,2023-10-19,92576,1454
693,T,2023-10-21,70929,394
694,T,2023-10-17,92402,3623
695,F,2023-10-31,4674,1621
696,T,2023-10-26,3472,49
697,F,2023-10-19,41410,4570
698,F,2023-10-28,34180,1636
699,T,2023-10-15,72279,3485
700,T,2023-10-25,56116,4225
701,F,2023-10-16,84212,1566
702,T,2023-10-17,48644,8
703,F,2023-10-22,58069,4822
704,T,2023-10-16,55200,219
705,F,2023-10-27,31347,2558
706,F,2023-10-22,92515,3737
707,T,2023-10-22,8761,2138
708,F,2023-10-11,13683,2862
709,F,2023-10-23,58313,1691
710,F,2023-10-28,19274,2556
711,F,2023-10-27,51147,971
712,F,2023-10-22,10321,731
713,F,2023-11-06,79354,1709
714,T,2023-10-15,45960,4383
715,F,2023-10-14,19309,1696
716,F,2023-10-28,2142,4693
717,T,2023-10-21,56687,4873
718,T,2023-10-16,50763,1528
719,F,2023-10-29,37173,4251
720,F,2023-11-01,267,4168
721,F,2023-11-03,88486,1647
722,T,2023-10-24,23812,486
723,F,2023-11-02,6155,4969
724,F,2023-10-23,33074,4440
725,T,2023-10-20,22329,4905
726,F,2023-10-17,87491,2895
727,F,2023-10-28,52724,1904
728,T,2023-10-12,17728,4722
729,F,2023-10-10,89773,464
730,F,2023-10-31,34038,1650
731,T,2023-10-21,99473,622
732,F,2023-10-29,27854,1784
733,F,2023-10-27,62807,4998
734,F,2023-10-28,16500,2400
735,T,2023-10-23,28011,4844
736,F,2023-10-30,37480,3395
737,T,2023-10-25,14552,2812
738,T,2023-10-17,57979,3242
739,F,2023-10-08,35807,2599
740,F,2023-10-20,69850,4797
741,F,2023-11-02,19436,3870
742,F,2023-10-10,34815,1698
743,T,2023-10-26,22012,3541
744,T,2023-11-04,49791,2871
745,F,2023-10-22,5320,226
746,F,2023-10-31,96102,2232
747,T,2023-10-28,40798,2068
748,F,2023-11-05,59361,917
749,F,2023-11-02,82480,4481
750,T,2023-10-24,26666,1423
751,T,2023-10-22,6387,2316
752,T,2023-10-11,66392,2044
753,F,2023-11-05,24013,1311
754,T,2023-10-13,62440,1743
755,T,2023-11-06,6557,1279
756,T,2023-10-20,53533,3062
757,T,2023-10-10,16382,4168
758,T,2023-10-23,27680,371
759,F,2023-10-14,26531,1282
760,T,2023-10-22,61803,2518
761,F,2023-10-31,30915,1737
762,T,2023-10-29,62139,1860
763,T,2023-10-12,75816,4884
764,F,2023-10-20,69124,2375
765,T,2023-10-14,43611,1853
766,F,2023-10-27,62334,859
767,T,2023-10-26,63494,4222
768,F,2023-11-05,41173,1823
769,F,2023-10-18,40242,4258
770,F,2023-11-02,54920,4505
771,T,2023-11-06,91164,2197
772,F,2023-10-20,68508,4052
773,F,2023-10-26,46269,1707
774,T,2023-11-01,41765,1081
775,T,2023-11-01,60072,3131
776,F,2023-10-23,55005,4974
777,F,2023-11-03,41632,3564
778,F,2023-10-08,22489,4884
779,F,2023-11-03,40115,3688
780,T,2023-10-27,34752,1876
781,F,2023-10-11,15687,3317
782,T,2023-10-13,56837,4795
783,T,2023-11-06,87903,2204
784,T,2023-11-05,93397,3718
785,F,2023-10-11,24277,4893
786,T,2023-11-06,7954,356
787,F,2023-10-10,31392,2356
788,T,2023-10-28,21212,648
789,F,2023-10-23,89974,3945
790,F,2023-10-23,86635,759
791,T,2023-11-01,51317,3489
792,T,2023-10-10,44291,2375
793,T,2023-11-03,23737,1420
794,F,2023-10-16,42323,713
795,T,2023-10-18,88380,1666
796,F,2023-10-11,48116,2436
797,F,2023-10-19,34190,3509
798,T,2023-10-11,55597,4841
799,T,2023-11-01,61192,1042
800,T,2023-10-13,15974,3292
801,T,2023-10-16,67505,2802
802,F,2023-10-10,73754,1643
803,F,2023-10-18,61871,4063
804,F,2023-10-08,34318,4001
805,T,2023-11-01,80793,2309
806,F,2023-10-15,92022,2205
807,T,2023-10-25,67491,144
808,F,2023-10-12,10234,3185
809,T,2023-10-14,4322,4841
810,T,2023-10-21,95820,3550
811,F,2023-11-05,56272,4666
812,F,2023-10-27,89485,3170
813,T,2023-10-27,85758,3536
814,F,2023-10-30,97115,4094
815,F,2023-10-24,24027,556
816,T,2023-11-04,6663,3934
817,F,2023-10-12,61088,986
818,T,2023-10-13,44011,243
819,T,2023-11-05,65352,1284
820,T,2023-10-19,63074,3135
821,T,2023-10-30,92656,3542
822,F,2023-10-21,61060,2500
823,T,2023-10-22,77315,2573
824,T,2023-11-06,1312,2540
825,T,2023-10-25,90753,37
826,F,2023-11-05,31964,4894
827,F,2023-10-30,36370,2740
828,T,2023-10-26,41991,2921
