id,costo,descripcion
399,188,dream
400,138,Democrat
401,49,run
402,136,data
403,156,final
404,95,always
405,120,represent
406,71,somebody
407,23,position
408,19,often
409,67,plant
410,181,cause
411,30,yard
412,90,especially
413,72,relate
414,55,back
415,119,your
416,99,let
417,179,throughout
418,169,former
419,35,minute
420,80,whose
421,113,month
422,197,model
423,70,serve
424,50,game
425,149,carry
426,25,program
427,53,consumer
428,165,list
429,138,give
430,148,argue
431,187,else
432,67,to
433,86,cold
434,153,information
435,98,family
436,168,happy
437,178,minute
438,52,pay
439,171,let
440,77,draw
441,115,pattern
442,59,point
443,23,speak
444,174,Democrat
445,12,small
446,178,election
447,29,continue
448,183,wind
449,170,ten
450,200,grow
451,43,course
452,113,here
453,49,phone
454,89,past
455,44,security
456,10,fight
457,171,report
458,37,home
459,169,defense
460,58,own
461,79,may
462,95,citizen
463,186,rock
464,54,at
465,171,picture
466,32,record
467,155,amount
468,140,two
469,25,in
470,184,officer
471,48,reflect
472,86,work
473,19,set
474,12,no
475,75,government
476,97,travel
477,170,affect
478,192,hope
479,189,participant
480,174,these
481,130,drop
482,170,budget
483,39,commercial
484,135,draw
485,35,everyone
486,31,become
487,120,late
488,74,line
489,182,friend
490,113,instead
491,40,great
492,53,benefit
493,170,pay
494,141,similar
495,92,perhaps
496,159,discover
497,183,sound
498,73,our
499,72,you
500,98,cover
501,71,series
502,198,would
503,147,wait
504,36,indeed
505,116,evidence
506,51,close
507,51,subject
508,134,traditional
509,108,bar
510,159,as
511,54,read
512,79,minute
513,193,baby
514,51,even
515,164,note
516,74,your
517,105,international
518,191,these
519,178,yard
520,177,environment
521,170,meet
522,142,professional
523,20,adult
524,159,director
525,48,without
526,128,respond
527,93,hundred
528,187,ready
529,101,worry
530,133,without
531,59,country
532,51,ever
533,93,sister
534,71,present
535,118,significant
536,112,store
537,164,agree
538,37,avoid
539,158,brother
540,145,political
541,59,help
542,170,toward
543,117,chance
544,50,human
545,170,article
546,74,player
547,116,study
548,200,defense
549,70,major
550,148,whatever
551,27,significant
552,45,professional
553,116,here
554,186,material
555,172,outside
556,171,guess
557,61,front
558,153,a
559,83,subject
560,109,force
561,129,Republican
562,65,study
563,89,present
564,179,maintain
565,198,across
566,178,wish
567,180,door
568,38,staff
569,185,there
570,10,individual
571,133,expect
572,65,test
573,34,likely
574,101,anything
575,31,animal
576,115,bring
577,101,couple
578,177,how
579,163,feel
580,195,determine
581,83,president
582,73,network
583,55,any
584,88,forget
585,111,current
586,127,ahead
587,185,this
588,91,name
589,162,center
590,22,second
591,53,forward
592,95,enter
593,56,his
594,170,which
595,125,Republican
596,20,great
597,128,line
598,164,use
599,44,there
600,95,name
601,96,human
602,170,despite
603,164,keep
604,104,hot
605,72,prove
606,127,so
607,195,member
608,118,just
609,196,enough
610,50,popular
611,144,blue
612,176,value
613,30,develop
614,16,group
615,109,south
616,106,human
617,48,over
618,52,recent
619,100,maintain
620,148,world
621,51,process
622,69,wrong
623,127,behavior
624,127,south
625,97,manage
626,76,policy
627,121,memory
628,104,political
629,113,number
630,124,likely
631,199,young
632,113,phone
633,103,increase
634,176,bit
635,185,smile
636,25,sister
637,26,describe
638,144,despite
639,11,short
640,131,early
641,164,professor
642,73,into
643,101,attention
644,45,treat
645,146,sign
646,179,war
647,165,her
648,84,unit
649,23,him
650,50,her
651,169,responsibility
652,198,see
653,95,enjoy
654,197,cup
655,180,model
656,28,above
657,193,ground
658,72,down
659,127,study
660,71,above
661,96,tonight
662,65,lose
663,129,add
664,155,energy
665,150,most
666,64,worker
667,163,cause
668,169,get
669,126,participant
670,122,open
671,196,almost
672,155,machine
673,27,establish
674,158,eat
675,91,range
676,98,economy
677,117,weight
678,168,box
679,27,never
680,20,local
681,92,usually
682,188,move
683,37,bit
684,86,suffer
685,120,likely
686,114,friend
687,116,but
688,147,increase
689,193,poor
690,161,official
691,30,fish
692,68,occur
693,145,relationship
694,180,old
695,113,send
696,26,Mr
697,55,quickly
698,109,east
699,163,place
700,129,nor
701,188,whatever
702,110,life
703,175,she
704,113,significant
705,69,wind
706,142,whole
707,88,consider
708,193,method
709,40,discussion
710,65,commercial
711,165,less
712,198,someone
713,99,model
714,113,option
715,56,wife
716,22,treat
717,145,each
718,57,administration
719,176,ready
720,151,cup
721,157,table
722,46,suggest
723,120,me
724,132,stop
725,104,capital
726,151,discussion
727,63,situation
728,120,energy
729,42,court
730,142,cup
731,65,set
732,90,participant
733,185,water
734,176,information
735,181,significant
736,122,chair
737,80,wonder
738,16,may
739,71,finally
740,136,four
741,84,figure
742,185,chance
743,159,ready
744,81,receive
745,78,live
746,75,expect
747,96,image
748,115,PM
749,170,glass
750,15,reason
751,142,source
752,122,Democrat
753,188,recently
754,63,myself
755,21,training
756,129,president
757,81,daughter
758,116,thought
759,60,maintain
760,32,green
761,168,consider
762,41,everyone
763,90,story
764,104,lot
765,125,usually
766,100,begin
767,140,name
768,86,impact
769,86,science
770,107,expert
771,13,speak
772,118,computer
773,198,finally
774,136,machine
775,194,education
776,42,sit
777,11,throw
778,83,assume
779,128,soldier
780,82,system
781,81,others
782,71,effect
783,177,top
784,68,idea
785,58,nature
786,141,policy
787,42,become
788,152,bit
789,173,president
790,36,continue
791,28,modern
792,12,Democrat
793,78,seat
794,114,thus
795,161,sit
796,10,long
797,34,box
798,172,statement
799,98,art
800,143,account
801,161,almost
802,127,food
803,152,bank
804,177,eight
805,121,image
806,54,rock
807,105,herself
808,101,thank
809,131,back
810,95,hot
811,188,happen
812,49,room
813,178,close
814,11,film
815,75,simple
816,104,hotel
817,19,record
818,112,field
819,148,teacher
820,27,practice
821,66,single
822,194,box
823,173,idea
824,128,guess
825,147,kid
826,131,break
827,48,something
828,154,source
829,152,think
830,117,maintain
831,143,reality
832,200,leg
833,171,north
834,111,even
835,131,mouth
836,58,medical
837,55,deal
838,116,television
839,173,trip
840,135,thing
841,132,serve
842,24,special
843,102,whether
844,112,assume
845,123,team
846,197,already
847,56,leg
848,95,another
849,57,everything
850,28,able
851,123,mention
852,197,beautiful
853,128,moment
854,81,career
855,199,bill
856,195,president
857,176,already
858,165,network
859,14,environment
860,111,choose
861,165,I
862,69,skin
863,164,worker
864,142,position
865,64,a
866,199,subject
867,126,stage
868,188,senior
869,142,mission
870,110,them
871,28,read
872,190,four
873,152,science
874,36,subject
875,112,may
876,198,raise
877,85,if
878,151,floor
879,25,story
880,18,almost
881,140,water
882,181,phone
883,44,class
884,110,by
885,34,win
886,125,here
887,111,health
888,121,various
889,128,young
890,78,seek
891,133,country
892,115,however
893,186,push
894,58,task
895,128,blue
896,160,policy
897,149,major
898,78,money
899,200,them
900,80,administration
901,29,left
902,153,agreement
903,137,special
904,120,them
905,108,tree
906,114,capital
907,36,wait
908,103,woman
909,23,current
910,189,everybody
911,156,party
912,154,down
913,135,short
914,122,blue
915,159,economy
916,112,mouth
917,142,minute
918,148,experience
919,123,fact
920,185,standard
921,105,run
922,12,personal
923,102,improve
924,198,wear
925,113,especially
926,33,teacher
927,12,tend
928,78,task
929,130,modern
930,78,teacher
931,186,career
932,185,cell
933,83,threat
934,96,when
935,194,quickly
936,50,Mrs
937,15,senior
938,170,world
939,40,should
940,55,face
941,144,job
942,132,former
943,13,positive
944,125,support
945,113,inside
946,175,available
947,27,always
948,123,form
949,160,hard
950,102,school
951,161,show
952,72,idea
953,199,story
954,119,hair
955,98,career
956,16,lose
957,21,despite
958,181,response
959,122,yard
960,168,its
961,164,time
962,103,serious
963,192,certain
964,167,could
965,107,generation
966,180,street
967,151,last
968,70,she
969,37,month
970,54,popular
971,97,start
972,38,quite
973,50,knowledge
974,27,investment
975,174,camera
976,157,let
977,102,rate
978,59,spring
979,67,require
980,123,because
981,91,peace
982,106,call
983,81,where
984,54,single
985,33,early
986,62,end
987,28,respond
988,124,spring
989,21,throw
990,31,where
991,199,opportunity
992,93,question
993,24,heavy
994,183,for
995,129,degree
996,58,personal
997,111,customer
998,37,window
999,186,ability
1000,178,everybody
1001,127,cultural
1002,50,soldier
1003,95,foreign
1004,36,music
1005,153,with
1006,41,new
1007,194,discussion
1008,70,fight
1009,167,spring
1010,35,sign
1011,199,true
1012,11,head
1013,42,last
1014,161,put
1015,12,quickly
1016,136,white
1017,145,toward
1018,175,program
1019,115,feeling
1020,59,last
1021,37,study
1022,186,popular
1023,155,collection
1024,175,billion
1025,114,father
1026,69,surface
1027,83,bit
1028,99,card
1029,187,wait
1030,135,identify
1031,186,within
1032,178,citizen
1033,176,point
1034,15,fly
1035,174,mouth
1036,121,then
1037,44,sometimes
1038,192,successful
1039,188,old
1040,42,fall
1041,153,country
1042,30,expert
1043,163,technology
1044,42,eat
1045,50,culture
1046,26,many
1047,101,must
1048,64,call
1049,15,cost
1050,107,address
1051,140,natural
1052,145,thank
1053,14,bit
1054,65,no
1055,47,reduce
1056,148,clearly
1057,117,us
1058,93,protect
1059,60,smile
1060,127,west
1061,187,nice
1062,192,do
1063,122,future
1064,76,fear
1065,28,consider
1066,115,control
1067,128,carry
1068,148,minute
1069,153,including
1070,138,recognize
1071,164,phone
1072,111,continue
1073,52,be
1074,104,structure
1075,163,together
1076,138,identify
1077,165,level
1078,50,glass
1079,144,usually
1080,18,college
1081,43,individual
1082,158,seat
1083,66,nice
1084,149,admit
1085,198,watch
1086,112,remember
1087,165,economy
1088,89,phone
1089,35,security
1090,91,rate
1091,74,hand
1092,95,beat
1093,45,to
1094,169,that
1095,148,eat
1096,138,camera
1097,169,next
1098,23,admit
1099,65,thing
1100,173,special
1101,192,oil
1102,158,politics
1103,178,open
1104,116,skin
1105,88,dinner
1106,19,ready
1107,77,allow
1108,181,serve
1109,122,thus
1110,38,affect
1111,29,hear
1112,116,opportunity
1113,129,once
1114,17,national
1115,40,whatever
1116,174,everyone
1117,37,medical
1118,21,total
1119,169,suffer
1120,54,executive
1121,139,interest
1122,17,pretty
1123,131,trip
1124,50,similar
1125,157,approach
1126,107,capital
1127,12,image
1128,54,what
1129,42,family
1130,88,analysis
1131,199,whose
1132,149,board
1133,42,lawyer
1134,93,professor
1135,94,professor
1136,72,indeed
1137,175,nation
1138,124,story
1139,138,keep
1140,113,production
1141,102,even
1142,16,industry
1143,74,between
1144,153,dog
1145,93,already
1146,158,positive
1147,113,method
1148,43,sing
1149,13,image
1150,140,site
1151,33,and
1152,141,too
1153,30,bar
1154,200,response
1155,116,month
1156,134,instead
1157,79,send
1158,27,guy
1159,59,trial
1160,141,arrive
1161,41,west
1162,129,start
1163,184,end
1164,113,success
1165,183,arm
1166,199,mean
1167,175,ever
1168,28,argue
1169,177,nearly
1170,158,defense
1171,198,between
1172,182,accept
1173,51,individual
1174,166,marriage
1175,169,artist
1176,129,message
1177,17,still
1178,21,possible
1179,29,final
1180,138,hope
1181,59,down
1182,98,could
1183,113,hand
1184,82,because
1185,63,war
1186,38,read
1187,190,than
1188,158,though
1189,105,from
1190,148,point
1191,188,Republican
1192,160,win
1193,10,offer
1194,99,by
1195,66,move
1196,143,total
1197,62,speak
1198,30,thousand
1199,156,century
1200,132,first
1201,59,important
1202,28,clear
1203,130,fill
1204,29,usually
1205,72,small
1206,135,test
1207,150,heavy
1208,175,risk
1209,153,according
1210,77,lot
1211,29,customer
1212,14,book
1213,68,however
1214,80,manage
1215,85,clear
1216,41,together
1217,139,sort
1218,10,career
1219,142,smile
1220,28,better
1221,99,against
1222,99,image
1223,121,out
1224,50,walk
1225,41,less
1226,139,still
1227,112,someone
1228,28,save
1229,131,art
1230,11,wide
1231,160,policy
1232,85,president
1233,60,personal
1234,146,career
1235,27,nor
1236,156,amount
1237,41,size
1238,152,type
1239,64,quickly
1240,154,but
1241,74,pick
1242,192,involve
1243,35,provide
1244,117,write
1245,143,front
1246,162,lot
1247,135,court
1248,51,people
1249,180,game
1250,148,concern
1251,134,act
1252,77,mention
1253,32,history
1254,119,card
1255,19,especially
1256,71,operation
1257,53,there
1258,101,do
1259,32,anyone
1260,38,me
1261,85,sell
1262,73,real
1263,176,thousand
1264,109,record
1265,137,structure
1266,24,represent
1267,16,push
1268,64,paper
1269,182,heavy
1270,103,least
1271,128,agree
1272,96,see
1273,103,money
1274,32,he
1275,39,born
1276,97,adult
1277,125,if
1278,89,memory
1279,136,remain
1280,172,attack
1281,61,beyond
1282,54,rest
1283,61,lay
1284,165,official
1285,151,remain
1286,64,both
1287,72,suffer
1288,120,style
1289,90,perhaps
1290,57,difference
1291,27,yes
1292,32,discuss
1293,66,community
1294,190,look
1295,33,line
1296,31,performance
1297,11,clearly
1298,168,own
1299,10,player
1300,117,wife
1301,44,raise
1302,80,really
1303,42,action
1304,115,traditional
1305,49,anything
1306,174,rich
1307,180,prove
1308,59,happen
1309,173,something
1310,177,when
1311,57,find
1312,91,field
1313,53,member
1314,34,air
1315,153,discussion
1316,58,including
1317,167,fish
1318,57,two
1319,84,purpose
1320,98,stock
1321,94,scene
1322,143,guy
1323,66,possible
1324,46,our
1325,22,listen
1326,146,stay
1327,155,stand
1328,155,good
1329,44,up
1330,36,opportunity
1331,165,age
1332,126,thing
1333,17,wind
1334,133,law
1335,179,war
1336,134,material
1337,62,talk
1338,167,chair
1339,157,first
1340,155,main
1341,55,pull
1342,112,offer
1343,184,pick
1344,10,according
1345,102,goal
1346,112,teach
1347,25,mind
1348,171,their
1349,153,interesting
1350,98,experience
1351,181,environment
1352,89,brother
1353,49,to
1354,169,husband
1355,52,seek
1356,61,analysis
1357,171,election
1358,91,we
1359,190,will
1360,171,change
1361,76,worry
1362,135,factor
1363,14,sing
1364,16,answer
1365,19,response
1366,79,author
1367,110,safe
1368,136,movement
1369,57,whose
1370,164,open
1371,90,raise
1372,38,relate
1373,150,four
1374,104,set
1375,183,others
1376,200,deep
1377,67,house
1378,136,reveal
1379,18,for
1380,143,structure
1381,109,would
1382,59,speak
1383,54,bad
1384,31,huge
1385,139,school
1386,75,feel
1387,111,arm
1388,77,eat
1389,33,anything
1390,44,bed
1391,138,time
1392,98,anyone
1393,33,huge
1394,60,clearly
1395,185,community
1396,166,natural
1397,81,young
1398,21,short
1399,92,leave
1400,141,team
1401,196,lawyer
1402,80,paper
1403,140,fall
1404,64,property
1405,187,would
1406,80,act
1407,36,financial
1408,89,light
1409,65,reveal
1410,163,there
1411,166,compare
1412,25,purpose
1413,27,practice
1414,124,majority
1415,123,economy
1416,73,involve
1417,190,card
1418,63,pull
1419,38,authority
1420,42,else
1421,111,eat
1422,185,food
1423,174,crime
1424,71,the
1425,47,activity
1426,97,dinner
1427,141,hand
1428,98,hard
1429,192,population
1430,70,before
1431,115,actually
1432,48,PM
1433,132,remain
1434,76,indeed
1435,73,again
1436,91,toward
1437,186,this
1438,157,rate
1439,199,miss
1440,71,doctor
1441,127,what
1442,194,have
1443,38,believe
1444,86,game
1445,132,certain
1446,55,real
1447,48,hard
1448,174,box
1449,172,another
1450,40,green
1451,89,letter
1452,41,enjoy
1453,87,not
1454,148,could
1455,151,ago
1456,182,everyone
1457,44,certainly
1458,79,hospital
1459,173,example
1460,27,measure
1461,190,even
1462,127,believe
1463,32,attention
1464,58,dog
1465,37,price
1466,58,help
1467,89,general
1468,161,grow
1469,80,about
1470,54,girl
1471,132,friend
1472,112,owner
1473,59,second
1474,108,middle
1475,172,gas
1476,185,commercial
1477,141,tend
1478,172,onto
1479,190,list
1480,45,executive
1481,169,window
1482,21,check
1483,126,realize
1484,179,morning
1485,150,prove
1486,163,eat
1487,124,anyone
1488,182,fund
1489,114,cold
1490,26,wind
1491,61,rate
1492,159,product
1493,97,either
1494,75,hand
1495,97,require
1496,41,ahead
1497,107,stop
1498,183,dream
1499,197,number
1500,66,if
1501,165,plan
1502,161,claim
1503,131,around
1504,165,quickly
1505,142,manage
1506,83,successful
1507,170,ground
1508,92,political
1509,156,quickly
1510,65,administration
1511,165,performance
1512,174,life
1513,55,enter
1514,100,owner
1515,118,thing
1516,198,movie
1517,31,federal
1518,150,beyond
1519,96,identify
1520,43,chair
1521,97,paper
1522,185,speak
1523,113,late
1524,105,house
1525,176,after
1526,146,voice
1527,118,certain
1528,133,buy
1529,17,together
1530,38,require
1531,36,answer
1532,119,road
1533,21,line
1534,110,seat
1535,126,west
1536,72,everything
1537,160,fear
1538,130,involve
1539,73,shake
1540,97,better
1541,163,truth
1542,56,modern
1543,90,rule
1544,14,service
1545,64,save
1546,126,political
1547,152,room
1548,117,like
1549,187,expect
1550,184,interview
1551,42,choose
1552,170,thus
1553,110,huge
1554,166,provide
1555,173,those
1556,191,note
1557,28,measure
1558,64,end
1559,70,stop
1560,168,whole
1561,199,he
1562,156,stop
1563,55,identify
1564,197,student
1565,155,share
1566,61,sea
1567,186,member
1568,139,future
1569,36,appear
1570,14,physical
1571,142,center
1572,113,idea
1573,176,rich
1574,92,because
1575,124,be
1576,176,technology
1577,194,exactly
1578,197,both
1579,120,pull
1580,58,someone
1581,105,never
1582,170,child
1583,28,raise
1584,85,assume
1585,144,entire
1586,20,relate
1587,72,fear
1588,21,six
1589,159,left
1590,26,still
1591,159,writer
1592,44,other
1593,161,threat
1594,121,bed
1595,199,national
1596,138,allow
1597,25,national
1598,110,you
1599,197,approach
1600,163,another
1601,17,hair
1602,44,hundred
1603,151,city
1604,81,business
1605,155,kid
1606,131,reflect
1607,185,fight
1608,43,again
1609,161,language
1610,184,perform
1611,110,machine
1612,92,quickly
1613,16,consumer
1614,31,paper
1615,50,particular
1616,153,full
1617,137,consider
1618,120,success
1619,146,none
1620,163,every
1621,41,Mr
1622,94,play
1623,24,care
1624,172,prepare
1625,103,especially
1626,154,cause
1627,57,magazine
1628,130,culture
1629,61,medical
1630,92,travel
1631,98,fish
1632,17,weight
1633,121,reason
1634,10,whole
1635,141,make
1636,52,official
1637,194,everyone
1638,96,he
1639,110,civil
1640,182,site
1641,102,apply
1642,113,seem
1643,95,about
1644,116,ever
1645,39,traditional
1646,153,certain
1647,198,prevent
1648,23,scientist
1649,59,team
1650,35,if
1651,189,book
1652,90,simply
1653,143,doctor
1654,197,Democrat
1655,28,morning
1656,183,score
1657,85,husband
1658,50,interesting
1659,65,environment
1660,121,activity
1661,114,behind
1662,173,foreign
1663,56,mention
1664,193,none
1665,21,approach
1666,147,oil
1667,47,debate
1668,109,risk
1669,32,relate
1670,109,low
1671,167,arm
1672,91,structure
1673,85,wide
1674,91,movement
1675,97,who
1676,70,vote
1677,63,allow
1678,156,quite
1679,56,manage
1680,158,his
1681,58,data
1682,197,imagine
1683,111,almost
1684,191,nation
1685,64,others
1686,37,way
1687,62,dog
1688,43,behavior
1689,32,goal
1690,40,food
1691,163,again
1692,20,group
1693,177,risk
1694,168,include
1695,19,manager
1696,80,father
1697,118,left
1698,130,stage
1699,118,phone
1700,184,answer
1701,46,million
1702,187,spend
1703,191,friend
1704,188,relationship
1705,130,final
1706,126,improve
1707,114,source
1708,174,every
1709,116,program
1710,111,article
1711,145,speech
1712,13,meeting
1713,99,message
1714,67,forward
1715,173,business
1716,151,prevent
1717,147,country
1718,197,collection
1719,146,character
1720,49,ahead
1721,19,pay
1722,149,face
1723,48,any
1724,153,ball
1725,191,these
1726,179,area
1727,96,decide
1728,91,guy
1729,76,together
1730,194,method
1731,111,possible
1732,56,very
1733,172,little
1734,175,she
1735,81,tree
1736,11,return
1737,152,sister
1738,35,tell
1739,174,avoid
1740,174,might
1741,95,however
1742,16,five
1743,21,environment
1744,115,lawyer
1745,23,manage
1746,109,peace
1747,178,let
1748,140,security
1749,43,general
1750,117,miss
1751,94,answer
1752,163,occur
1753,70,book
1754,17,several
1755,164,prevent
1756,88,throughout
1757,183,to
1758,152,wide
1759,188,book
1760,100,we
1761,153,fall
1762,35,four
1763,105,seek
1764,129,medical
1765,187,provide
1766,76,certainly
1767,31,stock
1768,30,most
1769,78,write
1770,61,base
1771,186,too
1772,182,range
1773,115,also
1774,162,inside
1775,39,himself
1776,25,fine
1777,109,per
1778,59,rather
1779,142,together
1780,84,question
1781,70,term
1782,51,suggest
1783,145,memory
1784,104,both
1785,169,practice
1786,125,population
1787,131,eye
1788,146,him
1789,29,office
1790,197,stop
1791,18,company
1792,148,call
1793,18,report
1794,74,interest
1795,178,sign
1796,165,language
1797,16,people
1798,164,energy
1799,173,become
1800,157,way
1801,78,reveal
1802,184,player
1803,11,into
1804,180,walk
1805,90,south
1806,163,church
1807,185,house
1808,44,commercial
1809,127,sense
1810,136,next
1811,140,maybe
1812,71,order
1813,85,on
1814,21,stand
1815,17,above
1816,62,college
1817,87,focus
1818,151,have
1819,162,ball
1820,149,method
1821,135,apply
1822,94,something
1823,58,degree
1824,101,stop
1825,32,kind
1826,74,away
1827,99,sound
1828,165,medical
1829,183,throughout
1830,26,account
1831,60,development
1832,172,enough
1833,166,will
1834,198,treatment
1835,141,happen
1836,100,by
1837,56,fear
1838,178,simply
1839,32,ago
1840,67,nearly
1841,159,often
1842,69,consider
1843,52,suffer
1844,14,brother
1845,148,must
1846,38,staff
1847,43,feeling
1848,190,allow
1849,80,learn
1850,46,early
1851,75,form
1852,12,pay
1853,68,watch
1854,113,site
1855,55,plan
1856,88,last
1857,131,radio
1858,99,church
1859,153,kid
1860,197,service
1861,163,happy
1862,25,be
1863,37,they
1864,112,senior
1865,159,continue
1866,137,agree
1867,122,important
1868,27,organization
1869,25,camera
1870,77,there
1871,165,church
1872,129,risk
1873,64,whether
1874,82,debate
1875,156,expect
1876,10,different
1877,28,dream
1878,179,production
1879,63,vote
1880,61,TV
1881,187,treat
1882,104,under
1883,164,ask
1884,132,certainly
1885,111,kind
1886,142,nice
1887,117,final
1888,166,week
1889,22,treat
1890,87,someone
1891,176,east
1892,43,call
1893,147,little
1894,186,can
1895,159,get
1896,156,town
1897,110,as
1898,194,PM
1899,177,through
1900,149,generation
1901,129,head
1902,74,as
1903,167,whole
1904,55,seek
1905,128,cause
1906,91,ok
1907,51,environment
1908,44,choice
1909,162,like
1910,54,agreement
1911,108,there
1912,56,especially
1913,36,church
1914,75,direction
1915,137,bed
1916,37,decision
1917,190,for
1918,69,today
1919,84,three
1920,21,message
1921,180,information
1922,57,case
1923,196,drop
1924,35,however
1925,152,tree
1926,109,top
1927,130,customer
1928,13,its
1929,16,themselves
1930,39,attorney
1931,167,three
1932,30,carry
1933,104,federal
1934,180,boy
1935,106,coach
1936,78,try
1937,115,south
1938,104,about
1939,76,seat
1940,189,budget
1941,150,experience
1942,72,community
1943,115,former
1944,190,fear
1945,122,green
1946,112,enter
1947,108,help
1948,62,news
1949,70,prepare
1950,197,real
1951,169,hospital
