id,nombre,descuento
273,someone,45
274,material,50
275,perform,19
276,short,17
277,similar,28
278,final,23
279,stay,11
280,successful,41
281,oil,23
282,theory,25
283,others,45
284,serve,47
285,clear,17
286,fly,16
287,station,26
288,cold,24
289,public,14
290,same,24
291,bit,12
292,floor,15
293,media,19
294,behind,40
295,set,21
296,analysis,26
297,local,19
298,six,21
299,fight,15
300,prepare,20
301,could,30
302,weight,36
303,office,42
304,fish,22
305,left,32
306,our,10
307,answer,42
308,be,31
309,point,50
310,movement,30
311,free,48
312,city,33
313,likely,48
314,six,39
315,image,35
316,only,47
317,front,42
318,for,32
319,dinner,49
320,month,41
321,available,28
322,three,41
323,candidate,49
324,language,12
325,offer,30
326,figure,40
327,field,45
328,true,26
329,often,10
330,response,38
331,feel,37
332,raise,43
333,reason,40
334,we,14
335,public,34
336,relationship,46
337,message,20
338,upon,49
339,office,30
340,president,22
341,this,28
342,challenge,33
343,dog,21
344,realize,39
345,box,42
346,herself,27
347,hold,48
348,degree,34
349,why,12
350,western,36
351,national,18
352,skill,12
353,baby,47
354,prove,29
355,coach,12
356,culture,24
357,throughout,11
358,detail,12
359,campaign,49
360,hope,19
361,writer,32
362,fire,18
363,partner,29
364,authority,11
365,book,37
366,per,48
367,understand,31
368,that,23
369,woman,50
370,idea,28
371,attorney,36
372,around,29
373,address,45
374,to,24
375,important,44
376,national,31
377,body,49
378,day,45
379,boy,47
380,yourself,19
381,huge,10
382,shake,30
383,president,16
384,go,34
385,economic,22
386,language,38
387,shoulder,13
388,can,48
389,heart,44
390,say,33
391,organization,43
392,large,46
393,anyone,30
394,network,11
395,model,18
396,billion,48
397,interesting,42
398,away,22
399,region,15
400,call,31
401,radio,46
402,cold,38
403,tree,30
404,ability,34
405,evening,45
406,security,14
407,nor,41
408,effort,50
409,however,13
410,they,35
411,cup,48
412,without,16
413,present,22
414,challenge,26
415,seat,40
416,street,49
417,sister,30
418,large,42
419,impact,46
420,certainly,33
421,answer,22
422,inside,41
423,southern,19
424,look,19
425,state,15
426,yeah,24
427,father,41
428,need,38
429,look,35
430,clear,37
431,goal,18
432,become,12
433,take,16
434,whole,18
435,thought,40
436,remain,25
437,bag,19
438,white,38
439,market,36
440,along,10
441,question,13
442,mouth,32
443,or,11
444,family,39
445,improve,30
446,far,43
447,it,41
448,around,33
449,theory,36
450,land,36
451,travel,48
452,general,22
453,newspaper,18
454,why,29
455,bad,42
456,less,12
457,few,21
458,save,42
459,land,22
460,inside,41
461,organization,19
462,single,25
463,toward,16
464,defense,45
465,position,41
466,care,36
467,save,28
468,anything,48
469,red,50
470,top,27
471,think,10
472,consumer,39
473,compare,35
474,break,26
475,season,35
476,light,38
477,certain,40
478,fear,14
479,old,21
480,body,41
481,must,45
482,skill,24
483,whether,23
484,member,33
485,inside,31
486,here,22
487,keep,32
488,long,12
489,wind,19
490,control,16
491,read,26
492,plan,30
493,try,40
494,might,37
495,suddenly,31
496,compare,26
497,purpose,25
498,her,11
499,beat,49
500,budget,19
501,give,17
502,support,44
503,mention,36
504,message,37
505,politics,18
506,various,43
507,compare,37
508,professional,28
509,today,41
510,you,33
511,approach,47
512,throw,31
513,response,19
514,per,33
515,seven,50
516,similar,44
517,citizen,34
518,lose,45
519,project,46
520,agency,17
521,born,44
522,carry,23
523,he,10
524,rise,40
525,seem,10
526,necessary,45
527,his,38
528,summer,41
529,against,43
530,idea,19
531,have,18
532,especially,24
533,other,48
534,myself,40
535,reduce,16
536,Mrs,36
537,song,20
538,tree,44
539,quickly,18
540,traditional,46
541,hotel,39
542,friend,14
543,especially,34
544,meeting,15
545,eat,17
546,very,34
547,because,31
548,drug,18
549,cultural,38
550,him,31
551,fill,44
552,group,46
553,soon,12
554,training,17
555,street,46
556,can,12
557,raise,19
558,science,26
559,especially,49
560,card,44
561,candidate,24
562,among,39
563,effect,20
564,author,20
565,help,25
566,not,17
567,since,50
568,those,12
569,idea,46
570,appear,28
571,growth,25
572,increase,12
573,song,27
574,side,36
575,could,46
576,energy,26
577,store,31
578,people,17
579,pressure,10
580,ability,42
581,factor,23
582,lay,36
583,answer,39
584,indeed,12
585,stop,12
586,research,24
587,race,16
588,maintain,13
589,number,39
590,program,26
591,visit,17
592,foreign,33
593,hundred,36
594,report,40
595,reflect,14
596,through,41
597,power,38
598,condition,32
599,bit,22
600,soon,30
601,discover,15
602,rich,19
603,establish,13
604,expert,38
605,maintain,14
606,develop,28
607,inside,19
608,bar,10
609,nation,12
610,director,42
611,eat,33
612,win,20
613,at,30
614,begin,29
615,sea,37
616,father,32
617,garden,27
618,establish,22
619,control,34
620,although,38
621,young,11
622,after,12
623,call,48
624,glass,28
625,he,50
626,indeed,44
627,conference,28
628,many,30
629,can,35
630,able,44
631,possible,48
632,me,41
633,performance,28
634,although,22
635,claim,38
636,company,11
637,front,33
638,remain,40
639,market,25
640,mention,31
641,group,38
642,member,37
643,far,39
644,suggest,17
645,back,29
646,notice,15
647,send,22
648,tonight,15
649,risk,37
650,series,12
651,game,26
652,method,35
653,soldier,36
654,send,49
655,nor,27
656,good,49
657,wear,41
658,soldier,36
659,along,23
660,war,12
661,turn,15
662,sing,23
663,about,43
664,difference,30
665,process,15
666,in,11
667,agree,37
668,source,17
669,perform,10
670,end,47
671,color,25
672,put,50
673,soldier,33
674,writer,18
675,prove,41
676,million,31
677,arrive,41
678,perform,25
679,realize,46
680,go,15
681,reason,46
682,wonder,39
683,write,19
684,into,12
685,whole,49
686,sell,31
687,serious,46
688,billion,45
689,party,24
690,structure,35
691,support,36
692,the,35
693,alone,39
694,interview,45
695,point,41
696,deal,31
697,pick,42
698,near,47
699,mother,42
700,similar,37
701,career,16
702,project,17
703,computer,36
704,white,45
705,course,38
706,kid,44
707,management,47
708,family,36
709,however,32
710,serve,45
711,both,46
712,central,39
713,again,38
714,already,44
715,lawyer,49
716,business,37
717,measure,50
718,American,14
719,part,33
720,future,23
721,call,43
722,baby,37
723,good,17
724,bill,12
725,thought,31
726,somebody,14
727,better,14
728,leader,42
729,set,32
730,race,12
731,dark,23
732,step,13
733,where,24
734,few,36
735,difference,13
736,home,36
737,service,46
738,election,23
739,just,19
740,admit,30
741,forward,30
742,take,34
743,employee,32
744,not,31
745,professional,27
746,however,30
747,nor,10
748,agent,12
749,mind,36
750,camera,37
751,dog,22
752,consumer,50
753,arm,14
754,indicate,45
755,long,13
756,try,18
757,child,36
758,certainly,30
759,girl,30
760,floor,28
761,skill,28
762,certain,16
763,general,48
764,action,30
765,grow,29
766,detail,42
767,life,30
768,everything,31
769,hotel,20
770,agree,13
771,scientist,17
772,couple,45
773,force,15
774,brother,39
775,tax,44
776,beat,48
777,where,25
778,popular,17
779,school,16
780,near,11
781,term,32
782,glass,16
783,policy,18
784,I,50
785,drop,28
786,fund,19
787,outside,30
788,win,25
789,go,26
790,environment,12
791,everything,21
792,really,33
793,subject,44
794,would,39
795,indicate,40
796,almost,44
797,tree,35
798,treat,47
799,against,20
800,executive,39
801,color,17
802,talk,26
803,level,42
804,food,48
805,everybody,26
806,interest,45
807,machine,29
808,sign,27
809,give,39
810,even,50
811,whose,49
812,others,13
813,rock,46
814,section,50
815,attack,20
816,billion,39
817,degree,47
818,section,11
819,call,39
820,end,48
821,popular,38
822,miss,30
823,bar,50
824,tough,39
825,send,20
826,better,23
827,company,47
828,kind,49
829,tree,47
830,sure,26
831,claim,21
832,else,15
833,and,45
834,set,26
835,newspaper,27
836,certain,40
837,special,47
838,discover,49
839,effect,46
840,how,36
841,happen,27
842,wish,39
843,environment,30
844,price,40
845,Republican,44
846,stuff,49
847,these,12
848,rise,43
849,bring,43
850,reason,41
851,open,45
852,support,38
853,exist,29
854,lay,39
855,thought,15
856,mind,45
857,hundred,19
858,author,15
859,face,24
860,maybe,15
861,before,16
862,arrive,46
863,magazine,32
864,then,40
865,so,31
866,present,32
867,beat,30
868,western,25
869,medical,12
870,person,35
871,factor,48
872,mouth,45
873,way,30
874,individual,35
875,maybe,36
876,fly,36
877,story,31
878,season,44
879,move,50
880,usually,44
881,kind,19
882,young,42
883,form,41
884,candidate,28
885,father,20
886,gas,45
887,actually,16
888,none,18
889,work,34
890,product,14
891,attack,22
892,national,24
893,half,39
894,picture,19
895,despite,25
896,unit,29
897,cost,25
898,couple,40
899,place,37
900,goal,46
901,site,21
902,product,25
903,as,49
904,cold,15
905,five,37
906,single,31
907,provide,14
908,form,19
909,owner,25
910,specific,42
911,leader,49
912,success,11
913,like,24
914,red,22
915,few,21
916,design,31
917,off,28
918,hard,18
919,some,41
920,will,12
921,thank,34
922,official,28
923,attorney,45
924,section,28
925,find,23
926,any,38
927,else,44
928,program,39
929,hand,42
930,lawyer,44
931,occur,41
932,computer,36
933,able,44
934,big,19
935,history,42
936,easy,49
937,leader,45
938,product,11
939,above,46
940,defense,24
941,from,30
942,say,19
943,enjoy,45
944,ready,48
945,my,45
946,school,11
947,back,26
948,manage,49
949,including,32
950,phone,32
951,recently,14
952,relationship,17
953,sense,23
954,yeah,13
955,every,40
956,capital,26
957,both,14
958,gun,19
959,support,41
960,article,38
961,course,48
962,meeting,11
963,skill,39
964,carry,37
965,two,39
966,similar,31
967,explain,19
968,save,45
969,common,48
970,meet,28
971,buy,28
972,baby,39
973,should,16
974,rate,40
975,play,23
976,business,35
977,training,38
978,sound,36
979,mention,30
980,manage,46
981,unit,10
982,amount,21
983,indeed,18
984,cultural,17
985,spring,43
986,per,33
987,name,19
988,Republican,47
989,friend,44
990,break,49
991,top,18
992,or,19
993,crime,35
994,read,28
995,oil,26
996,attention,24
997,process,36
998,behavior,10
999,perform,18
1000,as,16
1001,collection,44
1002,customer,49
1003,social,49
1004,plant,23
1005,him,10
1006,doctor,42
1007,weight,24
1008,east,13
1009,arrive,46
1010,head,31
1011,base,30
1012,owner,16
1013,social,43
1014,away,24
1015,after,38
1016,stay,32
1017,arm,31
1018,worker,39
1019,woman,14
1020,company,46
1021,listen,19
1022,most,30
1023,sea,11
1024,garden,19
1025,no,35
1026,true,45
1027,why,17
1028,as,14
1029,when,35
1030,measure,27
1031,your,27
1032,show,29
1033,hair,12
1034,pay,43
1035,cup,46
1036,interview,25
1037,anything,37
1038,example,26
1039,worry,35
1040,behavior,35
1041,go,30
1042,window,15
1043,event,19
1044,east,10
1045,respond,11
1046,office,34
1047,least,22
1048,mission,10
1049,hospital,31
1050,head,40
1051,fill,23
1052,dog,46
1053,man,43
1054,step,18
1055,painting,18
1056,end,30
1057,medical,23
1058,modern,23
1059,which,33
1060,class,49
1061,by,15
1062,organization,41
1063,player,42
1064,together,14
1065,couple,22
1066,challenge,35
1067,white,33
1068,nation,33
1069,tonight,19
1070,push,50
1071,laugh,48
1072,form,42
1073,film,12
1074,especially,47
1075,and,29
1076,customer,48
1077,authority,10
1078,page,50
1079,view,49
1080,western,23
1081,center,18
1082,your,23
1083,civil,15
1084,bag,10
1085,kind,32
1086,especially,18
1087,attack,17
1088,raise,36
1089,company,11
1090,win,10
1091,position,44
1092,brother,46
1093,nation,46
1094,tend,12
1095,culture,47
1096,son,29
1097,rather,22
1098,international,40
1099,fear,38
1100,I,36
1101,last,33
1102,size,46
1103,standard,31
1104,here,11
1105,establish,15
1106,during,38
1107,begin,27
1108,rate,32
1109,race,41
1110,let,28
1111,three,48
1112,hot,20
1113,administration,28
1114,without,46
1115,agent,14
1116,visit,47
1117,fact,40
1118,show,35
1119,agree,24
1120,data,46
1121,ability,15
1122,out,30
1123,may,31
1124,fear,30
1125,near,17
1126,pressure,15
1127,glass,33
1128,mind,12
1129,people,48
1130,stock,50
1131,room,24
1132,them,22
1133,along,24
1134,sister,17
1135,nothing,28
1136,no,26
1137,success,41
1138,will,45
1139,city,48
1140,call,18
1141,value,28
1142,record,18
1143,during,25
1144,dark,46
1145,character,48
1146,bring,17
1147,change,23
1148,food,34
1149,civil,28
1150,if,13
1151,different,44
1152,kid,13
1153,significant,35
1154,spring,18
1155,top,44
1156,sit,16
1157,indicate,34
1158,themselves,38
1159,red,13
1160,fly,39
1161,become,17
1162,or,30
1163,stage,26
1164,draw,24
1165,course,23
1166,beautiful,14
1167,child,49
1168,whether,24
1169,want,41
1170,road,21
1171,candidate,19
1172,spend,49
1173,crime,12
1174,stage,15
1175,management,30
1176,direction,24
1177,true,22
1178,message,38
1179,deep,33
1180,heavy,10
1181,character,32
1182,five,28
1183,style,35
1184,rise,13
1185,must,21
1186,report,47
1187,stuff,36
1188,phone,35
1189,finally,23
1190,near,42
1191,our,49
1192,property,49
1193,customer,21
1194,know,29
1195,bag,32
1196,gas,21
1197,pattern,22
1198,city,16
1199,financial,25
1200,necessary,19
1201,single,50
1202,group,29
1203,shoulder,43
1204,eye,19
1205,early,46
1206,past,19
1207,drop,18
1208,west,43
1209,after,50
1210,such,24
1211,indicate,40
1212,scene,44
1213,grow,25
1214,cup,43
1215,learn,15
1216,impact,15
1217,none,28
1218,call,35
1219,lawyer,26
1220,sing,10
1221,beat,11
1222,play,40
1223,visit,21
1224,should,27
1225,year,33
1226,drug,25
1227,item,11
1228,morning,14
1229,suffer,23
1230,late,30
1231,thousand,22
1232,out,28
1233,memory,42
1234,cover,43
1235,by,48
1236,position,31
1237,for,34
1238,black,27
1239,believe,44
1240,which,47
1241,mind,27
1242,PM,46
1243,everyone,45
1244,themselves,21
1245,long,20
1246,discuss,11
1247,stop,48
1248,oil,46
1249,senior,25
1250,Congress,14
1251,TV,32
1252,center,38
1253,foreign,49
1254,door,14
1255,defense,22
1256,treat,17
1257,fast,50
1258,set,33
1259,bank,13
1260,strategy,42
1261,place,18
1262,should,39
1263,generation,11
1264,most,11
1265,past,46
1266,guess,37
1267,somebody,36
1268,project,19
1269,risk,14
1270,low,30
1271,moment,10
1272,question,16
1273,must,23
1274,scientist,37
1275,clear,16
1276,either,33
1277,month,48
1278,type,49
1279,system,15
1280,democratic,43
1281,wall,30
1282,face,19
1283,life,47
1284,media,29
1285,decide,19
1286,little,29
1287,half,14
1288,important,27
1289,car,39
1290,because,35
1291,often,43
1292,anything,21
1293,commercial,19
1294,even,37
1295,pick,45
1296,tell,41
1297,recently,32
1298,among,15
1299,else,32
1300,fact,47
1301,would,21
1302,general,32
1303,now,27
1304,treat,16
1305,forget,49
1306,sit,45
1307,unit,40
1308,few,49
1309,themselves,40
1310,ago,14
1311,dream,17
1312,face,26
1313,skill,36
1314,sure,23
1315,issue,36
1316,action,29
1317,law,29
1318,source,33
1319,debate,22
1320,four,32
1321,serious,29
1322,reflect,11
1323,home,33
1324,industry,41
1325,college,14
1326,rise,37
1327,since,15
1328,indicate,36
1329,along,27
1330,resource,37
1331,record,31
1332,every,18
1333,least,40
1334,keep,41
1335,summer,12
1336,lay,34
1337,mission,31
1338,first,28
1339,rule,33
1340,another,48
1341,hospital,34
1342,recently,31
1343,executive,32
1344,case,19
1345,central,32
1346,quickly,50
1347,doctor,46
1348,stop,12
1349,market,38
1350,of,28
1351,kind,43
1352,me,36
1353,view,34
1354,yet,44
1355,small,48
1356,girl,13
1357,include,41
1358,evidence,26
1359,ago,17
1360,rate,32
1361,yard,34
1362,wonder,43
1363,cause,30
1364,his,24
1365,military,22
1366,until,32
1367,model,18
1368,successful,43
1369,process,48
1370,suffer,29
1371,interest,11
1372,stand,31
1373,industry,49
1374,green,27
1375,herself,22
1376,suggest,38
1377,well,15
1378,one,11
1379,involve,22
1380,open,36
1381,partner,17
1382,two,44
1383,seek,20
1384,evidence,30
1385,perhaps,44
1386,remain,16
1387,bad,27
1388,still,46
1389,individual,14
1390,turn,17
1391,north,21
1392,certainly,19
1393,raise,12
1394,send,28
1395,really,50
1396,wrong,24
1397,job,27
1398,in,19
1399,it,45
1400,benefit,43
1401,mother,31
1402,all,12
1403,college,19
1404,describe,11
1405,development,17
1406,wonder,45
1407,feel,23
1408,government,27
1409,myself,13
1410,speech,18
1411,officer,31
1412,perform,25
1413,social,34
1414,enough,48
1415,what,32
1416,what,23
1417,color,36
1418,soldier,43
1419,pressure,50
1420,east,23
1421,within,19
1422,answer,13
1423,now,42
1424,subject,23
1425,imagine,49
1426,whether,12
1427,new,35
1428,plant,17
1429,Mr,28
1430,ball,37
1431,night,41
1432,weight,46
1433,mean,16
1434,set,40
1435,building,38
1436,early,27
1437,threat,28
1438,role,23
1439,really,17
1440,performance,47
1441,officer,28
1442,three,14
1443,charge,27
1444,key,22
1445,change,16
1446,admit,30
1447,girl,39
1448,development,13
1449,believe,48
1450,continue,18
1451,teach,22
1452,in,49
1453,space,48
1454,process,37
1455,stand,17
1456,heavy,38
1457,few,14
1458,technology,14
1459,case,20
1460,need,10
1461,attention,41
1462,bill,28
1463,hair,34
1464,so,45
1465,imagine,44
1466,oil,30
1467,choice,49
1468,goal,15
1469,should,15
1470,oil,10
1471,alone,25
1472,knowledge,18
1473,in,15
1474,old,16
1475,long,11
1476,strategy,19
1477,discuss,18
1478,mention,44
1479,night,27
1480,us,49
1481,sure,10
1482,should,43
1483,total,44
1484,ask,48
1485,step,16
1486,reflect,40
1487,run,39
1488,language,30
1489,buy,23
1490,such,37
1491,present,20
1492,sense,31
1493,keep,42
1494,Congress,16
1495,future,14
1496,do,47
1497,summer,36
1498,pressure,14
1499,spend,21
1500,research,36
1501,down,36
1502,sense,25
1503,modern,26
1504,scene,15
1505,show,50
1506,box,47
1507,drug,43
1508,of,36
1509,trip,49
1510,health,49
1511,claim,20
1512,black,47
1513,treatment,13
1514,mind,16
1515,outside,38
1516,authority,21
1517,let,30
1518,president,24
1519,spend,24
1520,seem,41
1521,score,30
1522,clear,38
1523,box,11
1524,role,21
1525,lead,38
1526,bring,29
1527,reflect,38
1528,still,45
1529,none,31
1530,friend,48
1531,knowledge,30
1532,might,36
1533,real,29
1534,its,40
1535,choose,27
1536,artist,20
1537,meeting,18
1538,person,22
1539,mouth,20
1540,might,47
1541,type,27
1542,good,40
1543,man,45
1544,foreign,45
1545,condition,49
1546,clearly,23
1547,her,38
1548,get,50
1549,hope,46
1550,stand,16
1551,few,30
1552,simple,38
1553,challenge,34
1554,ground,38
1555,adult,30
1556,again,34
1557,expert,46
1558,notice,48
1559,under,23
1560,under,16
1561,section,11
1562,exactly,26
1563,husband,23
1564,travel,48
1565,board,28
1566,those,29
1567,painting,32
1568,fact,27
1569,nature,43
1570,teach,24
1571,off,26
1572,course,50
1573,door,26
1574,including,33
1575,hear,17
1576,him,48
1577,window,37
1578,speech,14
1579,western,17
1580,each,20
1581,indeed,10
1582,admit,31
1583,brother,47
1584,dream,49
1585,avoid,35
1586,popular,42
1587,speech,49
1588,field,20
1589,every,28
1590,admit,11
1591,artist,30
1592,language,19
1593,fear,36
1594,design,18
1595,current,45
1596,simple,47
1597,available,35
1598,interview,14
1599,popular,17
1600,approach,30
1601,space,26
1602,soldier,24
1603,each,38
1604,effect,24
1605,to,19
1606,still,19
1607,leg,23
1608,do,24
1609,they,40
1610,college,14
1611,letter,27
1612,indeed,36
1613,possible,36
1614,couple,50
1615,to,10
1616,recognize,48
1617,exist,43
1618,too,41
1619,sometimes,25
1620,head,32
1621,entire,49
1622,put,36
1623,professional,30
1624,door,14
1625,yourself,10
1626,at,20
1627,beyond,47
1628,paper,20
1629,serious,28
1630,at,48
1631,skill,26
1632,always,45
1633,admit,40
1634,task,49
1635,and,27
1636,point,24
1637,huge,37
1638,institution,10
1639,interesting,45
1640,trip,50
1641,everybody,22
1642,laugh,28
1643,into,42
1644,between,39
1645,recent,15
1646,everybody,35
1647,indeed,30
1648,road,27
1649,study,11
1650,degree,11
1651,class,43
1652,knowledge,27
1653,fact,14
1654,always,26
1655,financial,22
1656,ok,25
1657,gas,28
1658,within,39
1659,child,12
1660,themselves,24
1661,information,44
1662,born,49
1663,religious,21
1664,statement,24
1665,per,25
1666,our,37
1667,night,18
1668,administration,45
1669,strategy,22
1670,into,25
1671,month,39
1672,dream,14
1673,bill,11
1674,investment,45
1675,start,37
1676,market,12
1677,different,11
1678,star,49
1679,professional,44
1680,too,35
1681,wind,41
1682,against,42
1683,voice,29
1684,degree,50
1685,modern,31
1686,politics,32
1687,financial,19
1688,hotel,20
1689,school,37
1690,of,35
1691,any,22
1692,understand,44
1693,two,39
1694,real,46
1695,degree,37
1696,official,46
1697,yes,11
1698,the,47
1699,pressure,50
1700,nor,36
1701,recognize,43
1702,involve,26
1703,court,38
1704,good,45
1705,early,46
1706,opportunity,10
1707,message,17
1708,top,29
1709,simple,40
1710,eye,20
1711,college,43
1712,difficult,10
1713,door,20
1714,easy,19
1715,establish,30
1716,work,11
1717,identify,13
1718,create,32
1719,fill,26
1720,light,19
1721,over,16
1722,check,36
1723,medical,44
1724,pattern,43
1725,test,12
1726,sometimes,49
1727,ten,44
1728,early,15
1729,work,32
1730,total,16
1731,much,34
1732,from,19
1733,risk,15
1734,together,29
1735,religious,12
1736,central,34
1737,lead,25
1738,while,22
1739,wonder,18
1740,medical,12
1741,certain,33
1742,you,48
1743,treat,18
1744,table,43
1745,increase,42
1746,person,46
1747,take,22
1748,everybody,42
1749,recent,30
1750,then,39
1751,away,48
1752,machine,44
1753,pass,36
1754,still,10
1755,lose,41
1756,campaign,44
1757,man,29
1758,simply,20
1759,check,46
1760,accept,21
1761,law,14
1762,involve,31
1763,any,18
1764,miss,40
1765,material,29
1766,man,28
1767,eye,28
1768,total,15
1769,true,33
1770,fear,27
1771,onto,20
1772,some,17
1773,impact,21
1774,wait,38
1775,defense,45
1776,then,49
1777,choose,21
1778,particular,15
1779,state,47
1780,bill,10
1781,matter,38
1782,wish,48
1783,power,22
1784,too,27
1785,partner,12
1786,figure,39
1787,else,22
1788,ever,32
1789,however,34
1790,big,22
1791,relate,22
1792,card,24
1793,paper,33
1794,threat,24
1795,feeling,49
1796,reveal,11
1797,away,42
1798,should,24
1799,oil,18
1800,several,16
1801,protect,16
1802,thousand,26
1803,suddenly,43
1804,make,18
1805,when,24
1806,them,18
1807,group,22
1808,bed,24
1809,financial,38
1810,whole,12
1811,forget,38
1812,somebody,50
1813,one,15
1814,these,30
1815,wall,45
1816,role,17
1817,air,24
1818,good,22
1819,old,40
1820,leader,36
1821,edge,35
1822,agree,48
1823,painting,10
1824,join,50
1825,approach,48
1826,protect,46
1827,themselves,19
1828,red,28
1829,charge,21
1830,little,30
1831,hour,20
1832,only,46
1833,try,20
1834,drug,42
1835,safe,20
1836,sport,12
1837,air,27
1838,sing,49
1839,service,13
1840,can,26
1841,current,11
1842,social,44
1843,down,47
1844,someone,24
1845,ask,46
1846,exactly,21
1847,customer,27
1848,debate,12
1849,age,47
1850,others,18
1851,consider,16
1852,quite,38
1853,task,29
1854,remain,44
1855,control,46
1856,understand,18
1857,action,27
1858,small,40
1859,early,44
1860,billion,47
1861,final,37
1862,recent,30
1863,consumer,25
1864,official,15
1865,total,39
1866,wind,33
1867,onto,34
1868,sit,37
1869,market,18
1870,our,37
1871,exist,19
1872,now,50
1873,win,34
1874,consider,47
1875,bag,46
1876,book,28
1877,choice,10
1878,author,44
1879,total,36
1880,situation,47
1881,safe,46
1882,rise,47
1883,you,13
1884,human,13
1885,month,25
1886,strong,19
1887,matter,24
1888,peace,31
1889,machine,44
1890,one,47
1891,for,37
1892,tough,27
1893,responsibility,26
1894,return,35
1895,either,21
1896,first,22
1897,believe,25
1898,source,19
1899,within,17
1900,begin,31
1901,effect,30
1902,sense,10
1903,trial,26
1904,only,35
1905,run,49
1906,specific,17
1907,to,27
1908,knowledge,36
1909,bring,20
1910,baby,37
1911,reflect,45
1912,last,14
1913,each,41
1914,foreign,19
1915,sell,14
1916,trouble,26
1917,many,43
1918,wonder,33
1919,phone,31
1920,take,50
1921,series,16
1922,road,39
1923,institution,20
1924,effort,37
1925,agent,23
1926,partner,40
1927,base,44
1928,member,20
1929,job,22
1930,office,27
1931,other,28
1932,phone,20
1933,standard,35
1934,pay,36
1935,still,22
1936,rock,23
1937,husband,25
1938,share,39
1939,probably,40
1940,worry,12
1941,personal,38
1942,well,22
1943,term,10
1944,worker,38
1945,attorney,43
1946,above,20
1947,group,33
1948,like,28
1949,area,39
1950,color,47
1951,lead,38
1952,serve,19
1953,process,43
1954,provide,15
